,Accuracy Test,Balanced Accuracy Test,ROC AUC Test,PR AUC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.714 ± 0.003,0.713 ± 0.003,0.726 ± 0.002,0.666 ± 0.002,0.435 ± 0.005,0.683 ± 0.003,0.814 ± 0.003,0.612 ± 0.006,0.742 ± 0.002
ESTATE,0.666 ± 0.005,0.666 ± 0.005,0.709 ± 0.002,0.682 ± 0.002,0.333 ± 0.010,0.659 ± 0.004,0.706 ± 0.007,0.626 ± 0.003,0.682 ± 0.005
MACCS,0.613 ± 0.003,0.613 ± 0.003,0.665 ± 0.001,0.648 ± 0.002,0.226 ± 0.006,0.623 ± 0.002,0.599 ± 0.008,0.627 ± 0.002,0.611 ± 0.005
PHYCHEM,0.706 ± 0.001,0.705 ± 0.001,0.801 ± 0.003,0.808 ± 0.003,0.420 ± 0.003,0.673 ± 0.000,0.816 ± 0.004,0.593 ± 0.001,0.738 ± 0.002
RDKIT,0.713 ± 0.006,0.711 ± 0.006,0.776 ± 0.002,0.752 ± 0.003,0.436 ± 0.015,0.676 ± 0.004,0.830 ± 0.014,0.592 ± 0.005,0.745 ± 0.007
