,Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.786 ± 0.002,0.786 ± 0.002,0.864 ± 0.001,0.870 ± 0.002,0.574 ± 0.005,0.801 ± 0.001,0.762 ± 0.005,0.811 ± 0.000,0.781 ± 0.003
ESTATE,0.780 ± 0.002,0.780 ± 0.002,0.859 ± 0.000,0.867 ± 0.001,0.562 ± 0.004,0.801 ± 0.003,0.746 ± 0.001,0.815 ± 0.003,0.772 ± 0.002
MACCS,0.777 ± 0.002,0.777 ± 0.002,0.857 ± 0.001,0.864 ± 0.000,0.555 ± 0.003,0.799 ± 0.000,0.739 ± 0.004,0.815 ± 0.001,0.768 ± 0.002
PHYCHEM,0.694 ± 0.002,0.694 ± 0.002,0.774 ± 0.001,0.778 ± 0.001,0.389 ± 0.005,0.709 ± 0.005,0.656 ± 0.002,0.731 ± 0.007,0.682 ± 0.001
RDKIT,0.800 ± 0.001,0.800 ± 0.001,0.881 ± 0.001,0.887 ± 0.001,0.600 ± 0.003,0.814 ± 0.003,0.776 ± 0.003,0.824 ± 0.004,0.795 ± 0.001
