,Accuracy Test,Balanced Accuracy Test,ROC AUC Test,PR AUC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.489 ± 0.001,0.496 ± 0.001,0.616 ± 0.005,0.566 ± 0.004,-0.054 ± 0.009,0.181 ± 0.027,0.002 ± 0.000,0.989 ± 0.002,0.005 ± 0.000
ESTATE,0.486 ± 0.000,0.493 ± 0.000,0.471 ± 0.004,0.480 ± 0.001,-0.075 ± 0.000,0.125 ± 0.000,0.002 ± 0.000,0.983 ± 0.000,0.005 ± 0.000
MACCS,0.492 ± 0.001,0.498 ± 0.001,0.474 ± 0.005,0.480 ± 0.002,-0.025 ± 0.016,0.352 ± 0.108,0.005 ± 0.002,0.990 ± 0.000,0.011 ± 0.004
PHYCHEM,0.525 ± 0.000,0.531 ± 0.000,0.602 ± 0.000,0.602 ± 0.001,0.098 ± 0.000,0.647 ± 0.002,0.139 ± 0.001,0.922 ± 0.001,0.228 ± 0.001
RDKIT,0.487 ± 0.001,0.494 ± 0.001,0.602 ± 0.006,0.580 ± 0.006,-0.081 ± 0.004,0.000 ± 0.000,0.000 ± 0.000,0.987 ± 0.001,0.000 ± 0.000
