,Accuracy Test,Balanced Accuracy Test,ROC AUC Test,PR AUC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.481 ± 0.005,0.487 ± 0.005,0.266 ± 0.006,0.385 ± 0.001,-0.070 ± 0.029,0.323 ± 0.082,0.024 ± 0.008,0.950 ± 0.004,0.045 ± 0.014
ESTATE,0.475 ± 0.004,0.482 ± 0.004,0.250 ± 0.017,0.368 ± 0.006,-0.134 ± 0.015,0.019 ± 0.026,0.001 ± 0.001,0.962 ± 0.008,0.001 ± 0.002
MACCS,0.485 ± 0.002,0.491 ± 0.002,0.371 ± 0.021,0.411 ± 0.010,-0.077 ± 0.007,0.170 ± 0.023,0.005 ± 0.002,0.978 ± 0.006,0.009 ± 0.004
PHYCHEM,0.435 ± 0.014,0.439 ± 0.012,0.351 ± 0.012,0.408 ± 0.005,-0.186 ± 0.065,0.249 ± 0.131,0.105 ± 0.106,0.774 ± 0.081,0.141 ± 0.127
RDKIT,0.479 ± 0.001,0.485 ± 0.001,0.537 ± 0.012,0.512 ± 0.013,-0.099 ± 0.012,0.185 ± 0.101,0.012 ± 0.011,0.957 ± 0.014,0.023 ± 0.020
