,Accuracy Test,Balanced Accuracy Test,ROC AUC Test,PR AUC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.697 ± 0.002,0.696 ± 0.002,0.752 ± 0.003,0.695 ± 0.005,0.401 ± 0.004,0.669 ± 0.002,0.798 ± 0.003,0.594 ± 0.002,0.728 ± 0.002
ESTATE,0.697 ± 0.002,0.695 ± 0.002,0.771 ± 0.002,0.719 ± 0.006,0.399 ± 0.005,0.668 ± 0.001,0.796 ± 0.006,0.595 ± 0.002,0.727 ± 0.003
MACCS,0.631 ± 0.007,0.630 ± 0.007,0.670 ± 0.008,0.630 ± 0.007,0.261 ± 0.013,0.629 ± 0.005,0.662 ± 0.012,0.599 ± 0.006,0.645 ± 0.008
PHYCHEM,0.721 ± 0.001,0.720 ± 0.000,0.825 ± 0.000,0.826 ± 0.002,0.452 ± 0.002,0.684 ± 0.002,0.834 ± 0.008,0.605 ± 0.007,0.752 ± 0.002
RDKIT,0.703 ± 0.005,0.701 ± 0.005,0.766 ± 0.005,0.711 ± 0.001,0.415 ± 0.011,0.669 ± 0.003,0.820 ± 0.010,0.583 ± 0.003,0.737 ± 0.006
