,Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1
ECFP,0.807 ± 0.003,0.807 ± 0.003,0.878 ± 0.001,0.879 ± 0.001,0.615 ± 0.006,0.813 ± 0.004,0.797 ± 0.002,0.818 ± 0.005,0.805 ± 0.003
ESTATE,0.786 ± 0.001,0.786 ± 0.001,0.863 ± 0.000,0.868 ± 0.000,0.572 ± 0.003,0.797 ± 0.002,0.767 ± 0.001,0.805 ± 0.002,0.782 ± 0.001
MACCS,0.786 ± 0.001,0.786 ± 0.001,0.863 ± 0.000,0.866 ± 0.001,0.573 ± 0.003,0.807 ± 0.003,0.751 ± 0.002,0.821 ± 0.003,0.778 ± 0.001
PHYCHEM,0.713 ± 0.002,0.713 ± 0.002,0.780 ± 0.001,0.780 ± 0.001,0.425 ± 0.004,0.715 ± 0.003,0.707 ± 0.000,0.718 ± 0.003,0.711 ± 0.001
RDKIT,0.802 ± 0.001,0.802 ± 0.001,0.876 ± 0.001,0.874 ± 0.000,0.604 ± 0.003,0.812 ± 0.004,0.785 ± 0.003,0.819 ± 0.006,0.798 ± 0.001
