,Accuracy Test,Balanced Accuracy Test,ROC AUC Test,PR AUC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.686 ± 0.010,0.689 ± 0.009,0.677 ± 0.017,0.756 ± 0.014,0.425 ± 0.014,0.853 ± 0.006,0.460 ± 0.024,0.918 ± 0.007,0.598 ± 0.020
ESTATE,0.771 ± 0.022,0.773 ± 0.021,0.887 ± 0.009,0.877 ± 0.013,0.569 ± 0.037,0.886 ± 0.008,0.629 ± 0.044,0.918 ± 0.005,0.735 ± 0.032
MACCS,0.801 ± 0.006,0.802 ± 0.006,0.898 ± 0.003,0.884 ± 0.003,0.613 ± 0.010,0.872 ± 0.010,0.712 ± 0.020,0.892 ± 0.012,0.783 ± 0.009
PHYCHEM,0.493 ± 0.000,0.500 ± 0.000,0.696 ± 0.027,0.710 ± 0.014,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,1.000 ± 0.000,0.000 ± 0.000
RDKIT,0.772 ± 0.043,0.774 ± 0.042,0.919 ± 0.013,0.906 ± 0.014,0.578 ± 0.069,0.903 ± 0.008,0.616 ± 0.094,0.932 ± 0.012,0.728 ± 0.065
