Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test,Fingerprint,Run,Seed
0.785624607658506,0.7855923503878597,0.8643598690912244,0.8723112710635683,0.5719611346546035,0.8006622516556291,0.759899434318039,0.8112852664576803,0.7797484682360529,ECFP,1,42
0.7897049591964846,0.7896786193498302,0.8652051409870174,0.8704962141890276,0.5798853446350208,0.801967213114754,0.7686989314896292,0.8106583072100313,0.7849807445442876,ECFP,2,43
0.7840552416823603,0.7840217997395222,0.8631225013743058,0.8672873305839458,0.5688727489723518,0.7996018579960186,0.7573852922690132,0.8106583072100313,0.7779212395093609,ECFP,3,44
0.7799748901443817,0.7799323782483365,0.8596811216698947,0.8669588880883846,0.5611795476775705,0.7998652291105122,0.7460716530483973,0.8137931034482758,0.7720325203252032,ESTATE,1,42
0.7780916509730069,0.7780499242407823,0.8591026325589277,0.8664093912783158,0.5573581357023677,0.797442799461642,0.7448145820238844,0.8112852664576803,0.7702307442313943,ESTATE,2,43
0.7831136220966729,0.7830687507511886,0.8597008249774889,0.8680453515230722,0.5676180628972433,0.8044654939106901,0.7473287240729101,0.8188087774294671,0.7748452264581297,ESTATE,3,44
0.7771500313873195,0.7771039684431825,0.8568452246078548,0.8642408172965935,0.5557342454148684,0.7986440677966101,0.7404148334380892,0.8137931034482758,0.7684279191128506,MACCS,1,42
0.778405524168236,0.7783602513353918,0.8561437868574998,0.8641652329942797,0.5582019767592512,0.7995937711577522,0.7423004399748586,0.8144200626959248,0.7698826597131682,MACCS,2,43
0.7746390458254865,0.7745874619972455,0.8580073256897636,0.8647246474961957,0.5510696263994701,0.7987679671457906,0.7335009428032684,0.8156739811912226,0.7647444298820446,MACCS,3,44
0.6924042686754551,0.692360436546483,0.7730517862033499,0.7764440496966283,0.3856749769670713,0.7062795408507765,0.6574481458202388,0.7272727272727273,0.6809895833333334,PHYCHEM,1,42
0.697112366603892,0.6970571139777235,0.7754747019382142,0.7787213656712728,0.3956668745588817,0.7155647382920111,0.6530483972344437,0.7410658307210032,0.6828787380874137,PHYCHEM,2,43
0.6924042686754551,0.6923620128110906,0.7743858971605564,0.7773959347326499,0.3856109503902858,0.7057239057239058,0.6587052168447517,0.7260188087774294,0.6814044213263979,PHYCHEM,3,44
0.7997489014438167,0.7997146961060353,0.8794299439046832,0.8857400839888124,0.6003456401194521,0.8166112956810632,0.7724701445631679,0.8269592476489028,0.7939276485788114,RDKIT,1,42
0.8016321406151915,0.8016018789074122,0.8818841878986226,0.8874274871228911,0.6039276735474733,0.8165016501650165,0.7774984286612193,0.8257053291536051,0.7965228589826143,RDKIT,2,43
0.7981795354676711,0.798154391177647,0.8810389160028294,0.8883825778354058,0.5968053379705106,0.8102094240837696,0.7781269641734758,0.8181818181818182,0.7938441808271882,RDKIT,3,44
