,Accuracy Test,Balanced Accuracy Test,ROC AUC Test,PR AUC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.954 ± 0.005,0.954 ± 0.005,0.967 ± 0.001,0.956 ± 0.000,0.908 ± 0.010,0.967 ± 0.001,0.941 ± 0.011,0.967 ± 0.001,0.954 ± 0.005
ESTATE,0.931 ± 0.002,0.931 ± 0.002,0.958 ± 0.000,0.954 ± 0.001,0.863 ± 0.004,0.934 ± 0.002,0.930 ± 0.002,0.933 ± 0.002,0.932 ± 0.002
MACCS,0.910 ± 0.001,0.911 ± 0.001,0.962 ± 0.001,0.948 ± 0.002,0.821 ± 0.002,0.922 ± 0.002,0.899 ± 0.002,0.922 ± 0.002,0.910 ± 0.001
PHYCHEM,0.779 ± 0.007,0.779 ± 0.007,0.873 ± 0.003,0.859 ± 0.004,0.562 ± 0.013,0.820 ± 0.002,0.721 ± 0.014,0.838 ± 0.001,0.767 ± 0.009
RDKIT,0.895 ± 0.001,0.897 ± 0.001,0.907 ± 0.002,0.926 ± 0.001,0.802 ± 0.003,0.974 ± 0.001,0.815 ± 0.003,0.978 ± 0.001,0.888 ± 0.002
