,Accuracy Test,Balanced Accuracy Test,ROC AUC Test,PR AUC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.679 ± 0.007,0.676 ± 0.007,0.801 ± 0.006,0.829 ± 0.002,0.387 ± 0.018,0.631 ± 0.004,0.882 ± 0.014,0.470 ± 0.006,0.735 ± 0.007
ESTATE,0.671 ± 0.005,0.670 ± 0.005,0.722 ± 0.003,0.674 ± 0.004,0.352 ± 0.009,0.641 ± 0.006,0.798 ± 0.008,0.541 ± 0.014,0.711 ± 0.003
MACCS,0.655 ± 0.006,0.653 ± 0.006,0.693 ± 0.014,0.653 ± 0.017,0.324 ± 0.014,0.622 ± 0.006,0.813 ± 0.024,0.493 ± 0.022,0.705 ± 0.008
PHYCHEM,0.559 ± 0.007,0.556 ± 0.008,0.605 ± 0.026,0.608 ± 0.018,0.131 ± 0.012,0.544 ± 0.008,0.809 ± 0.041,0.303 ± 0.056,0.650 ± 0.009
RDKIT,0.677 ± 0.009,0.674 ± 0.009,0.772 ± 0.009,0.693 ± 0.004,0.423 ± 0.014,0.617 ± 0.008,0.956 ± 0.012,0.392 ± 0.026,0.750 ± 0.005
