,Accuracy Test,Balanced Accuracy Test,ROC AUC Test,PR AUC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.485 ± 0.000,0.492 ± 0.000,0.428 ± 0.009,0.473 ± 0.004,-0.082 ± 0.000,0.111 ± 0.000,0.002 ± 0.000,0.981 ± 0.000,0.005 ± 0.000
ESTATE,0.486 ± 0.001,0.492 ± 0.001,0.458 ± 0.003,0.468 ± 0.002,-0.066 ± 0.003,0.237 ± 0.009,0.007 ± 0.000,0.977 ± 0.001,0.014 ± 0.000
MACCS,0.489 ± 0.001,0.496 ± 0.001,0.451 ± 0.007,0.465 ± 0.005,-0.052 ± 0.008,0.206 ± 0.056,0.003 ± 0.001,0.988 ± 0.000,0.006 ± 0.002
PHYCHEM,0.508 ± 0.003,0.513 ± 0.003,0.509 ± 0.001,0.529 ± 0.003,0.046 ± 0.009,0.579 ± 0.014,0.102 ± 0.006,0.924 ± 0.002,0.173 ± 0.009
RDKIT,0.487 ± 0.001,0.493 ± 0.001,0.560 ± 0.012,0.552 ± 0.011,-0.070 ± 0.016,0.148 ± 0.105,0.003 ± 0.002,0.983 ± 0.000,0.006 ± 0.004
