,Accuracy Test,Balanced Accuracy Test,ROC AUC Test,PR AUC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.914 ± 0.005,0.915 ± 0.005,0.960 ± 0.002,0.952 ± 0.001,0.831 ± 0.009,0.946 ± 0.001,0.882 ± 0.011,0.948 ± 0.001,0.913 ± 0.006
ESTATE,0.925 ± 0.003,0.925 ± 0.003,0.961 ± 0.001,0.966 ± 0.001,0.851 ± 0.005,0.924 ± 0.001,0.929 ± 0.004,0.922 ± 0.001,0.927 ± 0.003
MACCS,0.913 ± 0.002,0.913 ± 0.002,0.969 ± 0.001,0.963 ± 0.001,0.827 ± 0.004,0.924 ± 0.004,0.903 ± 0.009,0.923 ± 0.005,0.913 ± 0.003
PHYCHEM,0.825 ± 0.009,0.825 ± 0.009,0.895 ± 0.004,0.888 ± 0.006,0.650 ± 0.018,0.834 ± 0.007,0.817 ± 0.012,0.833 ± 0.007,0.825 ± 0.010
RDKIT,0.891 ± 0.002,0.892 ± 0.002,0.932 ± 0.007,0.945 ± 0.005,0.792 ± 0.003,0.962 ± 0.002,0.818 ± 0.005,0.966 ± 0.002,0.884 ± 0.002
